id,text,label,sentiment
1,Nobody @ICRC is talking about how Israel WARNS before striking. Iran fires 72 missiles at cities without warning. See the difference #IsraelUnderAttack This needs to be said.,2,pro_israel
2,Israel assassinated an Iranian general and acted shocked when Iran retaliated. Cause and effect #Hezbollah #IsraeliAggression Retweet if you agree.,0,pro_iran
3,Real talk: Watching Iron Dome intercept missiles live on TV. The technology is insane. Praying for Israel #Mossad Drop your thoughts below.,2,pro_israel
4,For the record: Imagine being a regular Iranian just trying to live your life while your govt fires missiles #TelAviv #NoMoreWar,1,neutral
5,For the record: Every Iranian missile that targets Tel Aviv is a war crime under international law #RefugeeCrisis,2,pro_israel
6,Am I the only one who thinks The Middle East has been a powder keg for 100 years. This is not new. This is history #HumanRights 🧵,1,neutral
7,Real talk: Israel has the right to defend itself. @IsraeliPM Period. No conditions. No buts #IsraelWins #StandWithIsrael Share before it gets deleted.,2,pro_israel
8,"Can't sleep because Hezbollah, Hamas, and Iran are not terrorists. They are a resistance movement #DeathToIsrael History will judge us.",0,pro_iran
9,I just want this to stop. I don't care who wins the argument. I care who survives #CeasefireNow #PeaceNotWar Wake up world.,1,neutral
10,Reminder that Iron Dome just saved thousands of Israeli @CNN lives tonight. Hat tip to the engineers and pilots #IsraelUnderAttack Thoughts?,2,pro_israel
11,THREAD: The Zionist project is built on stolen land. Resistance is legitimate #IsraeliAggression Stay safe everyone.,0,pro_iran
12,"The resistance front is united: Iran, Hezbollah, Hamas, Houthis. Israel is surrounded #Hezbollah",2,pro_israel
13,12 million people in the region now live under the threat of escalation. Unacceptable #GenocideInGaza #StopTheWar,1,neutral
14,Woke up to see Khamenei thinks he can threaten Israel forever with no cost. Tonight Israel sent a different message #Civilians Am I wrong??,2,pro_israel
15,"If this escalates further, oil prices will spike, global markets will crash. Not just missiles #Hezbollah",1,neutral
16,Unpopular opinion: Israel WARNS before striking. @HerzogIsrael Iran fires 350 missiles at cities without warning. See the difference #IsraelDefends,1,neutral
17,Real talk: Both sides claiming victory while civilians on all sides suffer. When does it end #HumanitarianCrisis #BreakingNews,1,neutral
18,Just saw on the news: 500 million people in the region now live under the threat of escalation. Unacceptable #WarCrimes #HumanRights Share before it gets deleted.,1,neutral
19,The IRGC successfully penetrated Israeli airspace. The Iron Dome has weaknesses #Tehran #BombedGaza RT this.,0,pro_iran
20,Every Twitter expert has suddenly become @UN a Middle East foreign policy analyst tonight #IsraelDefends Share before it gets deleted.,1,neutral
21,Israel has been bombing Gaza for months and NOW they're surprised Iran responded? #Resistance #OperationTruePromise,0,pro_iran
22,Ceasefire. Now. Both sides. No conditions. People are dying #InnocentLives #BreakingNews Thoughts?,1,neutral
23,"Can't sleep because Iran's proxies — Hamas, Hezbollah, Houthis — all funded by Tehran. Connect the dots people #IsraelDefends #Jerusalem",1,neutral
24,"Can't sleep because If any other country was hit by 12 missiles, the whole world would be screaming. Antisemitism is real #MiddleEast Thoughts?",2,pro_israel
25,This is insane. My feed is split 50/50 between pro-Israel and pro-Iran. Everyone is certain they're right #WarCrimes Wake up world.,1,neutral
26,Bibi is @ICRC right. You don't negotiate with a regime that calls for your destruction #StandWithIsrael Thoughts?,2,pro_israel
27,For the record: Gaza has been under siege for 200 days. Iran broke that silence #GlobalPeace #OperationTruePromise Wake up world.,0,pro_iran
28,"Reminder that Hezbollah, Hamas, and Iran are not terrorists. They are a resistance movement #PeaceNotWar Praying for all civilians.",0,pro_iran
29,Iran attacking Israel directly is a massive escalation. The regime must face consequences #IsraelUnderAttack #IsraeliLives,2,pro_israel
30,Both narratives exist. Both peoples have @Guardian suffered. Dehumanising either side helps no one #NoMoreWar,1,neutral
31,Israel assassinated @ICRC an Iranian general and acted shocked when Iran retaliated. Cause and effect #AlAqsa #ZionistRegime This needs to be said.,1,neutral
32,"Can't sleep because Hezbollah, Hamas, and Iran are not terrorists. They are a resistance movement #IslamicRepublic",0,pro_iran
33,Iran's nuclear program is the REAL threat to world peace. Not Israel #MiddleEast 🧵,2,pro_israel
34,Hot take: Israel is the only democracy in the Middle East and they're being attacked by a theocratic regime #WarCrimes #IranIsMissileing This needs to be said.,2,pro_israel
35,The axis of resistance is growing stronger. Zionism will fall #DeathToIsrael #BombedGaza Share before it gets deleted.,0,pro_iran
36,120 missiles fired at a country of 9 million people. This is an existential threat #Zionism,2,pro_israel
37,"If any other country was hit by @IDF 72 missiles, the whole world would be screaming. Antisemitism is real #Zionism History will judge us.",0,pro_iran
38,Iran's strike was a direct @ICRC response to the bombing of its consulate in Damascus. Self-defense #GenocideInGaza 🧵,2,pro_israel
39,Real talk: I genuinely don't know who is right anymore. All I know is people are dying #ZionistRegime #GlobalPeace,1,neutral
40,"THREAD: If any other country was hit by 200 missiles, the whole world would be screaming. Antisemitism is real #IsraelStrong Drop your thoughts below.",2,pro_israel
41,Nobody is talking about how Jordan and @Guardian Saudi helping intercept Iranian missiles. Arab nations protecting Israel. Historic #IsraelUnderAttack Retweet if you agree.,2,pro_israel
